"","type","name","n","reportdate"
"1","Tanks ","T-64BV",3,2022-03-15
"2","Tanks ","T-72A",7,2022-03-15
"3","Tanks ","T-72AV",3,2022-03-15
"4","Tanks ","T-72B",34,2022-03-15
"5","Tanks ","T-72B Obr. 1989",5,2022-03-15
"6","Tanks ","T-72B3",14,2022-03-15
"7","Tanks ","T-72B3 Obr. 2016",55,2022-03-15
"8","Tanks ","T-80BV",7,2022-03-15
"9","Tanks ","T-80U",43,2022-03-15
"10","Tanks ","T-80UK",1,2022-03-15
"11","Tanks ","T-80BVM",14,2022-03-15
"12","Tanks ","T-90A",16,2022-03-15
"13","Tanks ","Unknown tank",12,2022-03-15
"14","Armoured Fighting Vehicles ","BRM-1K",3,2022-03-15
"15","Armoured Fighting Vehicles ","BMP-1Khs",1,2022-03-15
"16","Armoured Fighting Vehicles ","MT-LB",75,2022-03-15
"17","Armoured Fighting Vehicles ","MT-LB with ZU-23 AA gun",2,2022-03-15
"18","Armoured Fighting Vehicles ","MT-LBM 6MB",1,2022-03-15
"19","Armoured Fighting Vehicles ","MT-LB Ambulance",1,2022-03-15
"20","Armoured Fighting Vehicles ","MT-LBu",9,2022-03-15
"21","Armoured Fighting Vehicles ","1V13 battery fire control center",2,2022-03-15
"22","Armoured Fighting Vehicles ","Vityaz DT-30 articulated tracked carrier",2,2022-03-15
"23","Armoured Fighting Vehicles ","2S1 with ZU-23 AA gun",1,2022-03-15
"24","Armoured Fighting Vehicles ","9P149 Shturm-S ATGM carrier",2,2022-03-15
"25","Armoured Fighting Vehicles ","BMD-1KSh-A command vehicle",1,2022-03-15
"26","Armoured Fighting Vehicles ","R-149MA1 unified command and staff vehicle",7,2022-03-15
"27","Armoured Fighting Vehicles ","R-149MA3 command and staff vehicle",2,2022-03-15
"28","Armoured Fighting Vehicles ","1V119 artillery battalion fire direction vehicle",3,2022-03-15
"29","Armoured Fighting Vehicles ","TZM-T reloader vehicle",2,2022-03-15
"30","Armoured Fighting Vehicles ","Unknown BTR-D/BMD-2",9,2022-03-15
"31","Armoured Fighting Vehicles ","Unknown AFV",14,2022-03-15
"32","Infantry Fighting Vehicles ","BMP-1",15,2022-03-15
"33","Infantry Fighting Vehicles ","BMP-2",68,2022-03-15
"34","Infantry Fighting Vehicles ","BMP-2K",1,2022-03-15
"35","Infantry Fighting Vehicles ","BMP-3",22,2022-03-15
"36","Infantry Fighting Vehicles ","BMD-2",47,2022-03-15
"37","Infantry Fighting Vehicles ","BMD-4M",12,2022-03-15
"38","Infantry Fighting Vehicles ","BTR-82A",29,2022-03-15
"39","Armoured Personnel Carriers ","BTR-80",37,2022-03-15
"40","Armoured Personnel Carriers ","BTR-D",26,2022-03-15
"41","Armoured Personnel Carriers ","BTR-MDM 'Rakushka'",4,2022-03-15
"42","Mine-Resistant Ambush Protected  Vehicles ","KamAZ-63968 'Typhoon'",4,2022-03-15
"43","Mine-Resistant Ambush Protected  Vehicles ","K-53949 Typhoon-K",4,2022-03-15
"44","Mine-Resistant Ambush Protected  Vehicles ","K-53949 'Linza'",1,2022-03-15
"45","Infantry Mobility Vehicles ","GAZ Tigr-M",33,2022-03-15
"46","Infantry Mobility Vehicles ","Iveco LMV 'Rys'",7,2022-03-15
"47","Communications Stations ","MP-2IM signals vehicle",1,2022-03-15
"48","Communications Stations ","Barnaul-T 9<U+0421>932-1 automated system for air defence units",3,2022-03-15
"49","Communications Stations ","R-166-0.5 signals vehicle",2,2022-03-15
"50","Communications Stations ","R-419L1 communications station",1,2022-03-15
"51","Communications Stations ","Unknown communications station based on the KamAZ 6x6",1,2022-03-15
"52","Communications Stations ","Unknown communications station",1,2022-03-15
"53","Engineering Vehicles ","BTR-D APC with UR-67 mine clearing charge",1,2022-03-15
"54","Engineering Vehicles ","UR-77 'Meterorit'  mine clearing vehicle",5,2022-03-15
"55","Engineering Vehicles ","GMZ-3 minelayer",1,2022-03-15
"56","Engineering Vehicles ","BAT-2 heavy engineering vehicle",1,2022-03-15
"57","Engineering Vehicles ","BREM-1 armoured recovery vehicle",1,2022-03-15
"58","Engineering Vehicles ","BREM-K armoured recovery vehicle",2,2022-03-15
"59","Engineering Vehicles ","BREM-Ch ''BREM-4'' armoured recovery vehicle",1,2022-03-15
"60","Engineering Vehicles ","REM-KL armoured recovery vehicle",1,2022-03-15
"61","Engineering Vehicles ","IMR-2 combat engineering vehicle",3,2022-03-15
"62","Engineering Vehicles ","TMM-3 bridge layer",10,2022-03-15
"63","Engineering Vehicles ","MTU-72 bridge layer",1,2022-03-15
"64","Engineering Vehicles ","PMP floating bridge",4,2022-03-15
"65","Engineering Vehicles ","PTS-3  tracked amphibious transport",2,2022-03-15
"66","Engineering Vehicles ","KamAZ-5350 with EOV-3523 excavator",5,2022-03-15
